    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
     301   0.547200   0.450100  -0.019335   0.208243     3.003507     0.013434   1.733063   0.115906
     302   0.547200   0.450100  -0.022358   0.208676     2.996304     0.013446   1.730984   0.115958
     303   0.552000   0.445300  -0.026600   0.208451     2.991832     0.013417   1.729691   0.115833
     304   0.552000   0.445300  -0.030912   0.208661     2.987605     0.013386   1.728469   0.115699
     305   0.552000   0.445300  -0.039053   0.208549     2.997890     0.013346   1.731442   0.115526
     306   0.552000   0.445300  -0.041100   0.209064     2.989367     0.013383   1.728979   0.115685
     307   0.556800   0.440500  -0.034445   0.208454     2.993135     0.013453   1.730068   0.115987
     308   0.556800   0.440500  -0.041915   0.208364     3.000493     0.013412   1.732193   0.115809
     309   0.556800   0.440500  -0.049503   0.208511     3.008456     0.013375   1.734490   0.115651
     310   0.561600   0.435700  -0.047947   0.208822     2.999497     0.013362   1.731906   0.115593
     311   0.566400   0.430900  -0.042423   0.208326     2.999282     0.013395   1.731843   0.115736
     312   0.566400   0.430900  -0.035283   0.208023     3.005475     0.013380   1.733630   0.115674
     313   0.566400   0.430900  -0.028423   0.208493     3.010505     0.013406   1.735081   0.115785
     314   0.566400   0.430900  -0.036899   0.208789     3.023329     0.013391   1.738772   0.115719
     315   0.566400   0.430900  -0.043014   0.208519     3.025438     0.013371   1.739379   0.115633
